dateofshipment,weightofshipment,shipmentinsurrancecost,basevalue,boxtxt,width,length,depth,costtomake,durability,beginstorenumber,beginstoretxt,beginNightLoading,beginAutomation,begininsurracecost,endstorenumber,endstoretxt,endNightLoading,endAutomation,endinsurracecost
04/03/21,11.731,2.3925,172,BQ261014,26,10,14,2.64,30,107,NM418107,Yes,Yes,1.19,202,OK712202,Yes,No,2.3925
07/09/21,16.512,2.4107,145,MA101120,a,11,20,2.15,22,194,OK712194,No,Yes,2.4107,202,OK712202,Yes,No,2.3925
07/24/21,45.686,2.4107,145,DG282516,28,25,16,2.79,30,194,OK712194,No,Yes,2.4107,202,OK712202,Yes,No,2.3925
12/24/21,26.936,2.3925,139,EC423810,42,38,10,3.69,21,159,OK712159,Yes,No,2.3619,202,OK712202,Yes,No,2.3925
01/20/21,39.97,2.3925,133,KQ264020,26,40,20,2.92,23,119,NM418119,Yes,Yes,2.1247,202,OK712202,Yes,No,2.3925
08/14/21,19.95,2.3925,193,NC103116,10,31,16,2.31,30,138,TX253138,Yes,No,2.1131,202,OK712202,Yes,No,2.3925
09/13/21,45.652,2.8749,162,DM481414,48,14,14,2.56,23,179,NM418179,Yes,No,2.7761,241,NM418241,Yes,Yes,2.8749
10/31/21,49.92,2.8749,172,NC103116,10,31,16,2.31,30,111,NM418111,No,Yes,1.6539,241,NM418241,Yes,Yes,2.8749
05/22/21,27.623,2.8749,125,QH401919,40,19,19,2.39,26,127,NM418127,No,No,1.5802,241,NM418241,Yes,Yes,2.8749
03/05/21,9.885,2.8749,178,QH401919,40,19,19,2.39,26,122,TX253122,No,No,1.5313,241,NM418241,Yes,Yes,2.8749
12/12/21,35.201,2.8749,106,MA101120,10,11,20,2.15,22,191,TX253191,Yes,Yes,2.3817,241,NM418241,Yes,Yes,2.8749
06/22/21,15.942,2.8749,174,DA251912,25,19,12,2.36,24,121,OK712121,No,No,1.766,241,NM418241,Yes,Yes,2.8749
05/15/21,15.922,2.8749,191,KQ264020,26,40,20,2.92,23,101,TX253101,Yes,No,1.1412,241,NM418241,Yes,Yes,2.8749
01/20/21,47.826,2.8749,142,KQ264020,26,40,20,2.92,23,192,TX253192,No,No,2.1589,241,NM418241,Yes,Yes,2.8749
02/09/21,29.601,2.8749,135,MA101120,10,11,20,2.15,22,197,NM418197,No,No,2.005,241,NM418241,Yes,Yes,2.8749
10/06/21,17.985,2.8749,116,MA101120,10,11,,2.15,22,198,NM418198,Yes,wut,2.0457,241,NM418241,Yes,Yes,2.8749
06/05/21,32.502,2.8749,101,DX301310,30,13,10,3.91,21,181,OK712181,Yes,No,2.5645,241,NM418241,Yes,Yes,2.8749
12/02/21,34.624,2.8749,162,KQ264020,26,40,20,2.92,23,181,OK712181,Yes,No,2.5645,241,NM418241,Yes,Yes,2.8749
10/10/21,23.317,2.8749,94,GJ331220,33,12,20,3.09,27,153,NM418153,No,No,1.8533,241,NM418241,Yes,Yes,2.8749
05/01/21,23.135,2.8749,106,GJ331220,33,12,20,3.09,27,113,TX253113,Yes,No,2.0506,241,NM418241,Yes,Yes,2.8749
01/08/21,30.719,2.8749,125,DG282516,r,25,16,2.79,30,104,OK712104,Yes,Yes,1.7396,241,NM418241,Yes,Yes,2.8749
03/02/21,31.362,2.8749,143,KQ264020,26,40,20,2.92,23,168,OK712168,No,Yes,2.5057,241,NM418241,Yes,Yes,2.8749
04/20/21,49.429,3.1782,115,QH401919,40,19,19,2.39,26,131,,No,No,1.4525,277,OK712277,No,Yes,3.1782
10/23/21,7.717,3.1782,168,DX301310,30,13,10,3.91,21,187,TX253187,No,No,1.9274,277,OK712277,No,Yes,3.1782
02/20/21,22.51,3.1782,118,QH401919,40,19,19,2.39,26,122,TX253122,No,No,1.5313,277,OK712277,No,Yes,3.1782
06/01/21,44.3,3.1782,110,DG282516,28,25,16,2.79,30,149,NM418149,Yes,Yes,1.8933,277,OK712277,No,Yes,3.1782
01/18/21,49.235,3.1782,97,MA101120,10,11,20,2.15,22,154,TX253154,No,No,1.6255,277,OK712277,No,Yes,3.1782
10/04/21,39.806,3.1782,145,FD311219,31,12,19,2.64,23,119,NM418119,Yes,Yes,2.1247,277,OK712277,No,Yes,3.1782
11/12/21,9.38,3.1782,147,MA101120,10,11,20,2.15,22,123,TX253123,No,No,1.4704,277,OK712277,No,Yes,3.1782
09/19/21,15.245,3.1782,128,EC423810,42,38,10,3.69,21,186,NM418186,Yes,No,2.2679,277,OK712277,No,Yes,3.1782
04/09/21,32.427,3.1782,122,MA101120,10,11,20,2.15,22,106,NM418106,No,No,1.3273,277,OK712277,No,Yes,3.1782
06/18/21,16.398,3.1782,91,DM481414,48,14,14,2.56,23,168,OK712168,No,Yes,2.5057,277,OK712277,No,Yes,3.1782
03/05/21,36.943,3.1782,109,NC103116,10,31,16,2.31,30,156,OK712156,No,No,2.0617,277,OK712277,No,Yes,3.1782
06/02/21,40.843,3.1782,95,KQ264020,26,40,20,2.92,23,142,NM418142,Yes,Yes,2.0827,277,OK712277,No,Yes,3.1782
04/05/21,9.861,3.3355,152,MA101120,10,11,20,2.15,22,131,OK712131,No,No,1.4525,280,TX253280,No,No,3.3355
05/12/21,20.465,3.3355,144,DM481414,48,14,14,2.56,23,169,NM418169,Yes,No,1.9873,280,TX253280,No,No,3.3355
07/05/21,6.081,3.3355,140,EC423810,42,38,10,3.69,21,132,TX253132,No,No,1.3315,280,TX253280,No,No,3.3355
08/06/21,37.693,3.3355,161,DG282516,28,25,16,2.79,30,196,NM418196,Yes,No,2.6256,280,TX253280,No,No,3.3355
09/24/21,30.747,3.3355,179,KH102813,10,28,13,1.21,24,196,NM418196,Yes,No,2.6256,280,TX253280,No,No,3.3355
08/24/21,28.623,3.3355,170,QH401919,40,19,19,2.39,26,195,TX253195,Yes,Yes,2.6522,280,TX253280,No,No,3.3355
10/23/21,26.64,3.3355,122,GD341420,34,14,20,2.82,26,110,NM418110,Yes,No,1.4881,280,TX253280,No,No,3.3355
10/08/21,49.149,3.3355,180,BQ261014,26,10,14,2.64,30,118,TX253118,No,No,1.7179,280,TX253280,No,No,3.3355
08/17/21,15.839,3.3355,159,KQ264020,26,40,20,2.92,23,143,TX253143,No,Yes,1.9005,280,TX253280,No,No,3.3355
04/22/21,28.272,3.3355,118,DA251912,25,19,12,2.36,24,156,OK712156,No,No,2.0617,280,TX253280,No,No,3.3355
10/03/21,23.631,3.3583,92,MA101120,10,11,20,2.15,22,131,OK712131,No,No,1.4525,253,OK712253,Yes,No,3.3583
11/09/21,21.444,3.3583,158,BQ261014,26,10,14,2.64,30,127,NM418127,No,No,1.5802,253,OK712253,Yes,No,3.3583
11/17/21,48.842,3.3583,173,DG282516,28,25,16,2.79,30,183,OK712183,No,Yes,2.3069,253,OK712253,Yes,No,3.3583
02/07/21,50.358,3.3583,153,NC103116,10,31,tt,2.31,30,192,TX253192,No,No,2.1589,253,OK712253,Yes,No,3.3583
04/23/21,34.405,3.3583,163,EC423810,42,38,10,3.69,21,197,NM418197,No,No,2.005,253,OK712253,Yes,No,3.3583
10/05/21,8.543,3.3583,192,KH102813,10,28,13,1.21,24,119,NM418119,Yes,Yes,2.1247,253,OK712253,Yes,No,3.3583
02/12/21,5.43,3.3583,141,FD311219,31,12,19,2.64,23,104,OK712104,Yes,Yes,1.7396,253,OK712253,Yes,No,3.3583
07/24/21,6.502,3.102,133,MA101120,10,11,20,2.15,22,131,OK712131,No,No,1.4525,233,TX253233,No,No,3.102
04/04/21,37.743,3.102,187,QH401919,40,19,19,2.39,26,152,TX253152,Yes,Yes,1.5865,233,TX253233,No,No,3.102
04/23/21,38.079,3.102,90,NC103116,10,31,16,2.31,30,132,TX253132,No,No,1.3315,233,TX253233,No,No,3.102
04/24/21,22.612,3.102,169,NC103116,10,31,16,2.31,30,134,NM418134,Yes,Yes,1.3619,233,TX253233,No,No,3.102
05/21/21,35.316,3.102,99,KH102813,10,28,13,1.21,24,102,OK712102,No,Yes,1.8185,233,TX253233,No,No,3.102
02/07/21,15.21,3.102,100,NC103116,10,31,16,2.31,30,129,TX253129,No,Yes,1.8218,233,TX253233,No,No,3.102
09/12/21,9.825,3.102,112,DX301310,30,13,10,3.91,21,107,NM418107,Yes,Yes,1.19,233,TX253233,No,No,3.102
07/22/21,38.776,3.102,91,KQ264020,26,40,20,2.92,23,198,NM418198,Yes,No,2.0457,233,TX253233,No,No,3.102
06/17/21,27.694,3.102,168,NC103116,10,31,16,2.31,30,171,OK712171,Yes,No,2.4622,233,TX253233,No,No,3.102
09/05/21,25.694,3.102,172,EC423810,42,38,10,3.69,21,156,OK712156,No,No,2.0617,233,TX253233,No,No,3.102
08/31/21,29.424,3.8575,153,GJ331220,r,12,20,3.09,27,131,OK712131,No,No,1.4525,293,NM418293,Yes,Yes,3.8575
04/04/21,44.623,3.8575,121,MA101120,10,11,20,2.15,22,189,OK712189,wut,No,2.68,293,NM418293,Yes,Yes,3.8575
02/23/21,36.3,3.8575,93,DA251912,25,19,12,2.36,24,122,TX253122,No,No,1.5313,293,NM418293,Yes,Yes,3.8575
12/17/21,18.495,3.8575,93,MA101120,10,11,20,2.15,22,188,OK712188,Yes,Yes,2.0033,293,NM418293,Yes,Yes,3.8575
05/19/21,37.324,3.8575,183,DG282516,28,25,16,2.79,30,102,OK712102,No,Yes,1.8185,293,NM418293,Yes,Yes,3.8575
09/20/21,26.285,3.8575,90,GJ331220,33,12,20,3.09,27,124,TX253124,Yes,Yes,1.7142,293,NM418293,Yes,Yes,3.8575
01/15/21,41.984,3.8575,193,BQ261014,26,10,14,2.64,a,197,NM418197,No,No,2.005,293,NM418293,Yes,Yes,3.8575
09/05/21,6.674,3.8575,118,FD311219,31,12,19,2.64,23,197,NM418197,No,No,2.005,293,NM418293,Yes,Yes,3.8575
07/24/21,42.441,3.8575,172,NC103116,10,31,16,2.31,30,197,NM418197,No,No,2.005,293,NM418293,Yes,Yes,3.8575
08/04/21,41.43,3.8575,167,FD311219,31,12,19,2.64,23,159,OK712159,Yes,No,2.3619,293,NM418293,Yes,Yes,3.8575
11/16/21,15.392,3.8575,138,MA101120,10,11,20,2.15,22,181,OK712181,Yes,No,2.5645,293,NM418293,Yes,Yes,3.8575
09/05/21,33.061,3.8575,130,DM481414,48,14,14,2.56,23,153,NM418153,No,No,1.8533,293,NM418293,Yes,Yes,3.8575
06/12/21,8.736,3.8575,103,DX301310,30,13,10,3.91,21,160,TX253160,No,Yes,2.4575,293,NM418293,Yes,Yes,3.8575
12/10/21,48.973,3.8575,115,KQ264020,26,40,20,2.92,23,151,TX253151,No,Yes,1.9154,293,NM418293,Yes,Yes,3.8575
11/30/21,19.709,3.1293,115,DA251912,25,19,12,2.36,24,131,OK712131,No,No,1.4525,246,TX253246,No,Yes,3.1293
08/01/21,48.632,3.1293,97,KH102813,10,28,13,1.21,24,152,TX253152,Yes,Yes,1.5865,246,TX253246,No,Yes,3.1293
12/04/21,37.909,3.1293,171,GD341420,34,14,20,2.82,26,172,TX253172,No,Yes,2.4496,246,TX253246,No,Yes,3.1293
03/06/21,11.625,3.1293,136,KQ264020,26,40,20,2.92,23,117,NM418117,Yes,No,1.9876,246,TX253246,No,Yes,3.1293
07/18/21,13.492,3.1293,106,QH401919,40,19,19,2.39,26,133,TX253133,Yes,No,1.4345,246,TX253246,No,Yes,3.1293
12/03/21,18.153,3.1293,90,KH102813,10,28,13,1.21,24,199,TX253199,Yes,No,,246,TX253246,No,Yes,3.1293
02/01/21,11.158,3.1293,91,DG282516,28,25,16,2.79,30,162,OK712162,No,Yes,2.0861,246,TX253246,No,Yes,3.1293
12/09/21,32.416,2.1066,159,EC423810,42,38,10,3.69,21,131,OK712131,No,No,1.4525,204,TX253204,No,Yes,2.1066
09/17/21,27.417,2.1066,139,DG282516,28,25,16,2.79,30,188,OK712188,Yes,Yes,2.0033,204,TX253204,No,Yes,2.1066
05/31/21,33.469,2.4496,94,QH401919,40,19,19,2.39,26,172,TX253172,No,Yes,2.4496,204,TX253204,No,Yes,2.1066
08/24/21,44.932,,137,GJ331220,33,12,20,3.09,27,169,NM418169,Yes,No,1.9873,204,TX253204,No,Yes,2.1066
06/18/21,6.607,2.4187,129,KH102813,10,28,13,1.21,24,144,TX253144,Yes,Yes,2.4187,204,TX253204,No,Yes,2.1066
11/01/21,8.973,2.1066,109,DX301310,30,13,10,3.91,21,124,TX253124,Yes,Yes,1.7142,204,TX253204,No,Yes,2.1066
02/28/21,20.202,2.1066,125,DG282516,28,25,16,2.79,30,118,TX253118,No,No,1.7179,204,TX253204,No,Yes,2.1066
06/10/21,6.517,2.1066,182,GD341420,34,14,20,2.82,26,162,OK712162,No,Yes,2.0861,204,TX253204,No,Yes,2.1066
07/07/21,31.034,2.1066,148,KH102813,10,28,13,1.21,24,104,OK712104,Yes,Yes,1.7396,204,TX253204,No,Yes,2.1066
08/02/21,5.782,2.1066,94,DX301310,30,13,10,3.91,21,190,TX253190,Yes,No,1.9432,204,TX253204,No,Yes,2.1066
08/10/21,11.848,2.1131,120,BQ261014,26,10,14,2.64,30,138,TX253138,Yes,No,2.1131,204,TX253204,No,Yes,2.1066
07/22/21,26.372,2.7014,147,EC423810,42,38,10,3.69,21,131,OK712131,No,No,1.4525,260,OK712260,Yes,Yes,2.7014
04/12/21,48.651,2.7014,188,EC423810,42,38,10,3.69,21,111,NM418111,No,Yes,1.6539,260,OK712260,Yes,Yes,2.7014
11/23/21,40.171,2.7014,100,FD311219,31,12,19,2.64,23,150,NM418150,Yes,Yes,2.4296,260,OK712260,Yes,Yes,2.7014
04/23/21,14.629,2.7014,143,GJ331220,33,12,20,3.09,27,193,TX253193,No,Yes,2.0263,260,OK712260,Yes,Yes,2.7014
01/08/21,33.444,2.7014,108,FD311219,31,length,19,2.64,23,146,NM418146,Yes,No,1.74,260,OK712260,Yes,Yes,2.7014
08/07/21,12.749,2.7014,187,GJ331220,33,12,20,3.09,27,137,OK712137,Yes,Yes,2.0729,260,OK712260,Yes,Yes,2.7014
08/17/21,39.105,2.7014,132,GD341420,34,14,20,2.82,26,136,OK712136,No,No,1.3875,260,OK712260,Yes,Yes,2.7014
11/03/21,33.565,2.7014,131,NC103116,10,31,16,2.31,30,113,TX253113,Yes,No,2.0506,260,OK712260,Yes,Yes,2.7014
03/19/21,16.253,2.7014,109,GD341420,34,14,20,2.82,26,151,TX253151,No,Yes,1.9154,260,OK712260,Yes,Yes,2.7014
09/14/21,23.928,3.2165,186,DM481414,48,14,14,2.56,23,131,OK712131,No,No,1.4525,281,OK712281,No,No,3.2165
10/31/21,8.196,3.2165,145,FD311219,31,12,19,2.64,23,131,OK712131,No,No,1.4525,281,OK712281,No,No,3.2165
07/09/21,21.383,3.2165,164,NC103116,10,31,16,2.31,30,169,NM418169,Yes,No,1.9873,281,OK712281,No,No,3.2165
08/04/21,39.6,3.2165,189,NC103116,10,31,16,2.31,30,132,TX253132,No,No,1.3315,281,OK712281,No,No,3.2165
05/19/21,27.512,3.2165,161,GJ331220,33,12,20,3.09,27,108,OK712108,Yes,Yes,1.4731,281,OK712281,No,No,3.2165
08/04/21,50.227,3.2165,130,BQ261014,26,10,14,2.64,30,191,TX253191,Yes,Yes,2.3817,281,OK712281,No,No,3.2165
02/05/21,21.691,3.2165,143,NC103116,10,31,16,2.31,30,121,OK712121,No,No,1.766,281,OK712281,No,No,3.2165
06/10/21,8.617,3.2165,105,EC423810,42,38,10,3.69,21,105,OK712105,Yes,No,2.0155,281,OK712281,No,No,3.2165
06/13/21,34.04,3.2165,94,DG282516,28,25,16,2.79,30,139,TX253139,Yes,No,1.4508,281,OK712281,No,No,3.2165
07/13/21,13.43,3.2165,120,DG282516,28,25,16,2.79,30,133,TX253133,Yes,No,1.4345,281,OK712281,No,No,3.2165
